Stone Shape,Sieve /  MM,Stone Size
Oval,6.80X4.75,0.63
Oval,7.20X5.10,0.74
Oval,7.60X5.30,0.84
Oval,7.70X5.50,0.95
Oval,7.90X5.70,1.04
Oval,8.40X6.00,1.25
Oval,9.00X6.30,1.45
Oval,9.30X6.50,1.55
Oval,9.60X6.80,1.75
Oval,10.00X7.30,2.08
Oval,11.00X7.80,2.6
Oval,11.70X8.20,3.08
TRILLIANT,2.90X3.18,0.08
TRILLIANT,3.00X3.18,0.09
TRILLIANT,3.10X3.18,0.1
TRILLIANT,3.20X3.18,0.11
TRILLIANT,3.30X3.57,0.12
TRILLIANT,3.40X3.57,0.13
TRILLIANT,3.50X3.57,0.14
TRILLIANT,3.60X3.57,0.15
TRILLIANT,3.70X3.92,0.16
TRILLIANT,3.80X3.92,0.18
TRILLIANT,3.90X3.92,0.19
TRILLIANT,4.00X4.25,0.21
TRILLIANT,4.10X4.25,0.22
TRILLIANT,4.20X4.25,0.24
TRILLIANT,4.30X4.57,0.26
TRILLIANT,4.40X4.57,0.28
TRILLIANT,4.50X4.57,0.3
TRILLIANT,4.60X4.57,0.32
TRILLIANT,4.70X4.92,0.34
TRILLIANT,4.80X4.92,0.36
TRILLIANT,4.90X4.92,0.39
TRILLIANT,5.00X4.92,0.41
TRILLIANT,5.10X5.22,0.43
TRILLIANT,5.20X5.22,0.46
TRILLIANT,5.30X5.24,0.49
TRAPEZOIDE BRILLIANT,2.40X4.22,0.14
TRAPEZOIDE BRILLIANT,2.50X4.22,0.15
TRAPEZOIDE BRILLIANT,2.60X4.22,0.15
TRAPEZOIDE BRILLIANT,2.70X4.64,0.19
TRAPEZOIDE BRILLIANT,2.80X4.64,0.2
TRAPEZOIDE BRILLIANT,2.90X5.02,0.23
TRAPEZOIDE BRILLIANT,3.00X5.02,0.25
TRAPEZOIDE BRILLIANT,3.10X5.02,0.26
TRAPEZOIDE BRILLIANT,3.20X5.41,0.31
TRAPEZOIDE BRILLIANT,3.30X5.41,0.32
TRAPEZOIDE BRILLIANT,3.40X5.82,0.38
TRAPEZOIDE BRILLIANT,3.50X5.82,0.39
TRAPEZOIDE BRILLIANT,3.60X5.82,0.4
TRAPEZOIDE BRILLIANT,3.70X6.17,0.46
TRAPEZOIDE BRILLIANT,3.80X6.38,0.5
TRAPEZOIDE BRILLIANT,3.90X6.38,0.52
PEAR,3.50X2.30,0.07
PEAR,3.60X2.37,0.07
PEAR,3.70X2.43,0.08
PEAR,3.80X2.50,0.09
PEAR,3.90X2.57,0.1
PEAR,4.00X2.63,0.1
PEAR,4.10X2.70,0.11
PEAR,4.20X2.76,0.12
PEAR,4.30X2.83,0.13
PEAR,4.40X2.89,0.14
PEAR,4.50X2.96,0.15
PEAR,4.60X3.03,0.16
PEAR,4.70X3.09,0.17
PEAR,4.80X3.16,0.18
PEAR,4.90X3.22,0.19
PEAR,5.00X3.29,0.2
PEAR,5.10X3.36,0.21
PEAR,5.20X3.42,0.23
PEAR,5.30X3.49,0.24
PEAR,5.40X3.55,0.25
PEAR,5.50X3.62,0.27
PEAR,5.60X3.68,0.28
PEAR,5.70X3.75,0.3
PEAR,5.80X3.82,0.32
PEAR,5.90X3.88,0.33
PEAR,6.00X3.95,0.35
PEAR,6.10X4.01,0.37
PEAR,6.20X4.08,0.39
PEAR,6.30X4.14,0.41
PEAR,6.40X4.21,0.43
PEAR,6.50X4.28,0.45
PEAR,6.60X4.34,0.47
PEAR,6.85X4.40,0.53
PEAR,7.20X4.70,0.63
PEAR,8.00X5.10,0.74
PEAR,8.20X5.30,0.84
PEAR,8.50X5.50,0.95
PEAR,8.80X5.80,1.04
PEAR,9.60X5.90,1.25
PEAR,10.20X6.20,1.45
PEAR,10.40X6.40,1.55
PEAR,10.80X6.60,1.75
PEAR,11.40X7.10,2.08
PEAR,12.00X7.60,2.6
MARQUISE,3.90X2.05,0.06
MARQUISE,4.00X2.11,0.06
MARQUISE,4.10X2.16,0.07
