Shape,AVGMM,Price Group,Pointer range,MINMM,MAXMM,MINWT,MAXWT,AVGWT
ASSCHER,4.10 X 4.10,A40,0.40-0.49,4.00 X 4.00,4.20 X 4.20,0.39000,0.43000,0.41000
ASSCHER,4.20 X 4.20,A46,0.46-0.55,4.10 X 4.10,4.30 X 4.30,0.44000,0.48000,0.46000
ASSCHER,4.30 X 4.30,A46,0.46-0.55,4.20 X 4.20,4.40 X 4.40,0.47000,0.51000,0.49000
ASSCHER,4.40 X 4.40,A50,0.50-0.59,4.30 X 4.30,4.50 X 4.50,0.50000,0.54000,0.52000
ASSCHER,4.50 X 4.50,A50,0.50-0.59,4.40 X 4.40,4.60 X 4.60,0.54000,0.58000,0.56000
HEART,3.10 X 3.75,H17,0.13-0.17,3.00 X 3.55,3.20 X 3.95,0.12000,0.16000,0.14000
HEART,3.20 X 3.75,H17,0.13-0.17,3.10 X 3.55,3.30 X 3.95,0.13000,0.17000,0.15000
HEART,3.30 X 3.75,H17,0.13-0.17,3.20 X 3.55,3.40 X 3.95,0.14000,0.18000,0.16000
HEART,3.40 X 4.13,H18,0.18-0.22,3.30 X 3.96,3.50 X 4.29,0.18000,0.22000,0.20000
HEART,3.50 X 4.13,H18,0.18-0.22,3.40 X 3.96,3.60 X 4.29,0.18000,0.22000,0.20000
HEART,3.60 X 4.13,H18,0.18-0.22,3.50 X 3.96,3.70 X 4.29,0.19000,0.23000,0.21000
HEART,3.70 X 4.47,H23,0.23-0.29,3.60 X 4.30,3.80 X 4.64,0.23000,0.27000,0.25000
HEART,3.80 X 4.47,H23,0.23-0.29,3.70 X 4.30,3.90 X 4.64,0.24000,0.28000,0.26000
HEART,3.90 X 4.47,H23,0.23-0.29,3.80 X 4.30,4.00 X 4.64,0.24000,0.28000,0.26000
HEART,4.00 X 4.82,H30,0.30-0.39,3.90 X 4.65,4.10 X 4.99,0.29000,0.33000,0.31000
HEART,4.10 X 4.82,H30,0.30-0.39,4.00 X 4.65,4.20 X 4.99,0.30000,0.34000,0.32000
HEART,4.20 X 4.82,H30,0.30-0.39,4.10 X 4.65,4.30 X 4.99,0.31000,0.35000,0.33000
HEART,4.30 X 4.82,H30,0.30-0.39,4.20 X 4.65,4.40 X 4.99,0.31000,0.35000,0.33000
HEART,4.40 X 5.27,H40,0.40-0.49,4.30 X 5.00,4.50 X 5.54,0.39000,0.43000,0.41000
HEART,4.50 X 5.27,H40,0.40-0.49,4.40 X 5.00,4.60 X 5.54,0.40000,0.44000,0.42000
HEART,4.60 X 5.27,H40,0.40-0.49,4.50 X 5.00,4.70 X 5.54,0.41000,0.45000,0.43000
HEART,4.70 X 5.27,H40,0.40-0.49,4.60 X 5.00,4.80 X 5.54,0.42000,0.46000,0.44000
HEART,4.80 X 5.66,H50,0.50-0.59,4.70 X 5.55,4.90 X 5.77,0.50000,0.54000,0.52000
HEART,4.90 X 5.58,H50,0.50-0.59,4.80 X 5.49,5.00 X 5.67,0.48000,0.52000,0.50000
HEART,5.00 X 5.58,H50,0.50-0.59,4.90 X 5.49,5.10 X 5.67,0.49000,0.53000,0.51000
HEART,5.00 X 5.58,H50,0.50-0.59,4.90 X 5.49,5.10 X 5.67,0.50000,0.54000,0.52000
Oval,3.50 X 2.45,O8,0.07-0.08,3.40 X 2.35,3.60 X 2.55,0.06000,0.10000,0.08000
Oval,3.60 X 2.52,O12,0.09-0.12,3.50 X 2.42,3.70 X 2.62,0.07000,0.11000,0.09000
Oval,3.70 X 2.59,O12,0.09-0.12,3.60 X 2.49,3.80 X 2.69,0.08000,0.12000,0.10000
Oval,3.80 X 2.66,O12,0.09-0.12,3.70 X 2.56,3.90 X 2.76,0.09000,0.13000,0.11000
Oval,3.90 X 2.73,O12,0.09-0.12,3.80 X 2.63,4.00 X 2.83,0.09000,0.13000,0.11000
Oval,4.00 X 2.80,O12,0.09-0.12,3.90 X 2.70,4.10 X 2.90,0.10000,0.14000,0.12000
Oval,4.10 X 2.87,O17,0.13-0.17,4.00 X 2.77,4.20 X 2.97,0.11000,0.15000,0.13000
Oval,4.20 X 2.94,O17,0.13-0.17,4.10 X 2.84,4.30 X 3.04,0.12000,0.16000,0.14000
Oval,4.30 X 3.01,O17,0.13-0.17,4.20 X 2.91,4.40 X 3.11,0.13000,0.17000,0.15000
Oval,4.40 X 3.08,O17,0.13-0.17,4.30 X 2.98,4.50 X 3.18,0.14000,0.18000,0.16000
Oval,4.50 X 3.15,O18,0.18-0.22,4.40 X 3.05,4.60 X 3.25,0.16000,0.20000,0.18000
Oval,4.60 X 3.22,O18,0.18-0.22,4.50 X 3.12,4.70 X 3.32,0.17000,0.21000,0.19000
Oval,4.70 X 3.29,O18,0.18-0.22,4.60 X 3.19,4.80 X 3.39,0.18000,0.22000,0.20000
Oval,4.80 X 3.36,O18,0.18-0.22,4.70 X 3.26,4.90 X 3.46,0.19000,0.23000,0.21000
Oval,4.90 X 3.43,O23,0.23-0.29,4.80 X 3.33,5.00 X 3.53,0.21000,0.25000,0.23000
