Stone Shape,Sieve /  MM,AVG WT
Oval,5.40X3.78,0.30000
Oval,5.50X3.85,0.32000
Oval,5.60X3.92,0.34000
Oval,5.70X3.99,0.36000
Oval,5.80X4.06,0.38000
Oval,5.90X4.13,0.40000
Oval,6.00X4.20,0.42000
Oval,6.10X4.27,0.44000
Oval,6.20X4.34,0.46000
Oval,6.30X4.41,0.49000
Oval,6.40X4.48,0.51000
Oval,6.50X4.55,0.53000
Oval,6.60X4.62,0.56000
Oval,6.70X4.69,0.59000
Oval,6.80X4.75,0.63000
Oval,7.20X5.10,0.74000
Oval,7.60X5.30,0.84000
Oval,7.70X5.50,0.95000
Oval,7.90X5.70,1.04000
Oval,8.40X6.00,1.25000
Oval,9.00X6.30,1.45000
Oval,9.30X6.50,1.55000
Oval,9.60X6.80,1.75000
Oval,10.00X7.30,2.08000
Oval,11.00X7.80,2.60000
Oval,11.70X8.20,3.08000
TRILLIANT,2.90X3.18,0.08000
TRILLIANT,3.00X3.18,0.09000
TRILLIANT,3.10X3.18,0.10000
TRILLIANT,3.20X3.18,0.11000
TRILLIANT,3.30X3.57,0.12000
TRILLIANT,3.40X3.57,0.13000
TRILLIANT,3.50X3.57,0.14000
TRILLIANT,3.60X3.57,0.15000
TRILLIANT,3.70X3.92,0.16000
TRILLIANT,3.80X3.92,0.18000
TRILLIANT,3.90X3.92,0.19000
TRILLIANT,4.00X4.25,0.21000
TRILLIANT,4.10X4.25,0.22000
TRILLIANT,4.20X4.25,0.24000
TRILLIANT,4.30X4.57,0.26000
TRILLIANT,4.40X4.57,0.28000
TRILLIANT,4.50X4.57,0.30000
TRILLIANT,4.60X4.57,0.32000
TRILLIANT,4.70X4.92,0.34000
TRILLIANT,4.80X4.92,0.36000
TRILLIANT,4.90X4.92,0.39000
TRILLIANT,5.00X4.92,0.41000
TRILLIANT,5.10X5.22,0.43000
TRILLIANT,5.20X5.22,0.46000
TRILLIANT,5.30X5.24,0.49000
TRAPEZOIDE BRILLIANT,2.40X4.22,0.14000
TRAPEZOIDE BRILLIANT,2.50X4.22,0.15000
TRAPEZOIDE BRILLIANT,2.60X4.22,0.15000
TRAPEZOIDE BRILLIANT,2.70X4.64,0.19000
TRAPEZOIDE BRILLIANT,2.80X4.64,0.20000
TRAPEZOIDE BRILLIANT,2.90X5.02,0.23000
TRAPEZOIDE BRILLIANT,3.00X5.02,0.25000
TRAPEZOIDE BRILLIANT,3.10X5.02,0.26000
TRAPEZOIDE BRILLIANT,3.20X5.41,0.31000
TRAPEZOIDE BRILLIANT,3.30X5.41,0.32000
TRAPEZOIDE BRILLIANT,3.40X5.82,0.38000
TRAPEZOIDE BRILLIANT,3.50X5.82,0.39000
TRAPEZOIDE BRILLIANT,3.60X5.82,0.40000
TRAPEZOIDE BRILLIANT,3.70X6.17,0.46000
TRAPEZOIDE BRILLIANT,3.80X6.38,0.50000
TRAPEZOIDE BRILLIANT,3.90X6.38,0.52000
PEAR,3.50X2.30,0.07000
PEAR,3.60X2.37,0.07000
PEAR,3.70X2.43,0.08000
PEAR,3.80X2.50,0.09000
PEAR,3.90X2.57,0.10000
PEAR,4.00X2.63,0.10000
PEAR,4.10X2.70,0.11000
PEAR,4.20X2.76,0.12000
PEAR,4.30X2.83,0.13000
PEAR,4.40X2.89,0.14000
PEAR,4.50X2.96,0.15000
PEAR,4.60X3.03,0.16000
PEAR,4.70X3.09,0.17000
PEAR,4.80X3.16,0.18000
PEAR,4.90X3.22,0.19000
PEAR,5.00X3.29,0.20000
PEAR,5.10X3.36,0.21000
PEAR,5.20X3.42,0.23000
PEAR,5.30X3.49,0.24000
PEAR,5.40X3.55,0.25000
PEAR,5.50X3.62,0.27000
PEAR,5.60X3.68,0.28000
PEAR,5.70X3.75,0.30000
PEAR,5.80X3.82,0.32000
PEAR,5.90X3.88,0.33000
PEAR,6.00X3.95,0.35000
PEAR,6.10X4.01,0.37000
PEAR,6.20X4.08,0.39000
PEAR,6.30X4.14,0.41000
PEAR,6.40X4.21,0.43000
PEAR,6.50X4.28,0.45000
PEAR,6.60X4.34,0.47000
PEAR,6.85X4.40,0.53000
PEAR,7.20X4.70,0.63000
PEAR,8.00X5.10,0.74000
PEAR,8.20X5.30,0.84000
PEAR,8.50X5.50,0.95000
PEAR,8.80X5.80,1.04000
PEAR,9.60X5.90,1.25000
PEAR,10.20X6.20,1.45000
PEAR,10.40X6.40,1.55000
PEAR,10.80X6.60,1.75000
PEAR,11.40X7.10,2.08000
PEAR,12.00X7.60,2.60000
MARQUISE,3.90X2.05,0.06000
MARQUISE,4.00X2.11,0.06000
MARQUISE,4.10X2.16,0.07000
MARQUISE,4.20X2.21,0.07000
MARQUISE,4.30X2.26,0.08000
MARQUISE,4.40X2.32,0.09000
MARQUISE,4.50X2.37,0.09000
MARQUISE,4.60X2.42,0.10000
MARQUISE,4.70X2.47,0.11000
MARQUISE,4.80X2.53,0.11000
MARQUISE,4.90X2.58,0.12000
MARQUISE,5.00X2.63,0.13000
MARQUISE,5.10X2.68,0.14000
MARQUISE,5.20X2.74,0.15000
MARQUISE,5.30X2.79,0.15000
MARQUISE,5.40X2.84,0.16000
MARQUISE,5.50X2.89,0.17000
MARQUISE,5.60X2.95,0.18000
MARQUISE,5.70X3.00,0.19000
MARQUISE,5.80X3.05,0.20000
MARQUISE,5.90X3.11,0.21000
MARQUISE,6.00X3.16,0.22000
MARQUISE,6.10X3.21,0.24000
MARQUISE,6.20X3.26,0.25000
MARQUISE,6.30X3.32,0.26000
MARQUISE,6.40X3.37,0.27000
MARQUISE,6.50X3.42,0.29000
MARQUISE,6.60X3.47,0.30000
MARQUISE,6.70X3.53,0.31000
MARQUISE,6.80X3.58,0.33000
MARQUISE,6.90X3.63,0.34000
MARQUISE,7.00X3.68,0.36000
MARQUISE,7.10X3.74,0.37000
MARQUISE,7.20X3.79,0.39000
MARQUISE,7.50X3.90,0.43000
MARQUISE,8.00X4.10,0.54000
MARQUISE,8.40X4.30,0.63000
MARQUISE,9.40X4.60,0.74000
MARQUISE,9.60X4.70,0.84000
MARQUISE,10.00X5.00,0.95000
MARQUISE,10.50X5.30,1.04000
MARQUISE,11.30X5.70,1.25000
MARQUISE,11.60X6.00,1.45000
MARQUISE,11.90X6.00,1.55000
MARQUISE,12.40X6.30,1.75000
MARQUISE,12.90X6.60,2.08000
MARQUISE,14.00X7.20,2.60000
EMERALD,2.80X2.00,0.07000
EMERALD,2.90X2.07,0.08000
EMERALD,3.00X2.14,0.09000
EMERALD,3.10X2.21,0.10000
EMERALD,3.20X2.29,0.11000
EMERALD,3.30X2.36,0.12000
EMERALD,3.40X2.43,0.13000
EMERALD,3.50X2.50,0.14000
EMERALD,3.60X2.57,0.15000
EMERALD,3.70X2.64,0.16000
EMERALD,3.80X2.71,0.18000
EMERALD,3.90X2.79,0.20000
EMERALD,4.00X2.86,0.21000
EMERALD,4.10X2.93,0.23000
EMERALD,4.20X3.00,0.24000
EMERALD,4.30X3.07,0.26000
EMERALD,4.40X3.14,0.28000
EMERALD,4.50X3.21,0.30000
EMERALD,4.60X3.29,0.32000
EMERALD,4.70X3.36,0.34000
EMERALD,4.80X3.43,0.37000
EMERALD,4.90X3.50,0.39000
EMERALD,5.00X3.57,0.42000
EMERALD,5.10X3.64,0.44000
EMERALD,5.20X3.71,0.47000
EMERALD,5.30X3.79,0.50000
EMERALD,5.70X4.05,0.60000
EMERALD,5.90X4.30,0.74000
EMERALD,6.30X4.40,0.84000
EMERALD,6.50X4.60,0.95000
EMERALD,6.80X4.90,1.04000
EMERALD,7.10X5.10,1.25000
EMERALD,7.50X5.40,1.45000
EMERALD,7.70X5.50,1.55000
EMERALD,8.00X5.70,1.75000
EMERALD,8.50X5.90,2.08000
EMERALD,9.10X6.50,2.60000
EMERALD,9.50X6.75,3.08000
CUSHION,2.70X2.65,0.10000
CUSHION,2.80X2.65,0.11000
CUSHION,2.90X2.65,0.13000
CUSHION,3.00X2.65,0.14000
CUSHION,3.10X2.98,0.16000
CUSHION,3.20X2.98,0.17000
CUSHION,3.30X2.98,0.19000
CUSHION,3.40X3.27,0.21000
CUSHION,3.50X3.27,0.23000
CUSHION,3.60X3.27,0.25000
CUSHION,3.70X3.55,0.27000
CUSHION,3.80X3.55,0.29000
CUSHION,3.90X3.55,0.31000
CUSHION,4.00X3.82,0.34000
CUSHION,4.10X3.82,0.36000
CUSHION,4.20X3.82,0.39000
CUSHION,4.30X4.11,0.42000
CUSHION,4.40X4.11,0.45000
CUSHION,4.50X4.11,0.48000
CUSHION,4.60X4.11,0.52000
CUSHION,4.70X4.36,0.55000
CUSHION,4.80X4.47,0.59000
CUSHION,4.90X4.47,0.62000
CUSHION,5.00X4.47,0.66000
CUSHION,5.25X5.25,0.74000
CUSHION,5.50X5.50,0.84000
CUSHION,5.75X5.75,0.95000
CUSHION,6.00X6.00,1.04000
CUSHION,6.30X6.30,1.25000
CUSHION,6.50X6.50,1.45000
CUSHION,6.75X6.75,1.55000
CUSHION,6.90X6.90,1.75000
CUSHION,7.30X7.30,2.08000
CUSHION,8.00X8.00,2.60000
TRAPEZOID STEPCUT,2.40X4.26,0.15000
TRAPEZOID STEPCUT,2.50X4.26,0.15000
TRAPEZOID STEPCUT,2.60X4.26,0.16000
TRAPEZOID STEPCUT,2.70X4.69,0.20000
TRAPEZOID STEPCUT,2.80X4.69,0.21000
TRAPEZOID STEPCUT,2.90X5.08,0.23000
TRAPEZOID STEPCUT,3.00X5.08,0.25000
TRAPEZOID STEPCUT,3.10X5.08,0.28000
TRAPEZOID STEPCUT,3.20X5.47,0.33000
TRAPEZOID STEPCUT,3.30X5.47,0.34000
TRAPEZOID STEPCUT,3.40X5.89,0.40000
TRAPEZOID STEPCUT,3.50X5.89,0.42000
TRAPEZOID STEPCUT,3.60X5.89,0.43000
TRAPEZOID STEPCUT,3.70X6.23,0.49000
TRAPEZOID STEPCUT,3.80X6.46,0.54000
TRAPEZOID STEPCUT,3.90X6.46,0.56000
HALFMOON BRILLIANT,3.90X2.75,0.13000
HALFMOON BRILLIANT,4.00X2.75,0.14000
HALFMOON BRILLIANT,4.10X2.75,0.14000
HALFMOON BRILLIANT,4.20X2.75,0.15000
HALFMOON BRILLIANT,4.30X3.03,0.18000
HALFMOON BRILLIANT,4.40X3.03,0.18000
HALFMOON BRILLIANT,4.50X3.03,0.19000
HALFMOON BRILLIANT,4.60X3.03,0.19000
HALFMOON BRILLIANT,4.70X3.28,0.23000
HALFMOON BRILLIANT,4.80X3.28,0.24000
HALFMOON BRILLIANT,4.90X3.28,0.24000
HALFMOON BRILLIANT,5.00X3.28,0.25000
HALFMOON BRILLIANT,5.10X3.53,0.29000
HALFMOON BRILLIANT,5.20X3.53,0.30000
HALFMOON BRILLIANT,5.30X3.53,0.30000
HALFMOON BRILLIANT,5.40X3.53,0.31000
HALFMOON BRILLIANT,5.50X3.80,0.37000
HALFMOON BRILLIANT,5.60X3.80,0.38000
HALFMOON BRILLIANT,5.70X3.80,0.38000
HALFMOON BRILLIANT,5.80X3.80,0.39000
HALFMOON BRILLIANT,5.90X4.00,0.44000
HALFMOON BRILLIANT,6.00X4.13,0.47000
HALFMOON BRILLIANT,6.10X4.13,0.48000
HALFMOON BRILLIANT,6.20X4.13,0.49000
HALFMOON BRILLIANT,6.30X4.13,0.50000
RADIANT,2.90X2.23,0.08000
RADIANT,3.00X2.31,0.09000
RADIANT,3.10X2.38,0.10000
RADIANT,3.20X2.46,0.11000
RADIANT,3.30X2.54,0.12000
RADIANT,3.40X2.62,0.13000
RADIANT,3.50X2.69,0.15000
RADIANT,3.60X2.77,0.16000
RADIANT,3.70X2.85,0.18000
RADIANT,3.80X2.92,0.19000
RADIANT,3.90X3.00,0.20000
RADIANT,4.00X3.08,0.22000
RADIANT,4.10X3.15,0.24000
RADIANT,4.20X3.23,0.26000
RADIANT,4.30X3.31,0.28000
