Date :2023-5-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor Style No,ALTR no.,Picture,Metal Kt / Color,Metal Rate $ P. Oz,Metal Wt. in Gm,Metal Rate in Gms,Metal Cost,Finding Cost,Stone Shape,Stone Qlty,Sieve /  MM,Stone Size,Stone wt. Total,Stone Rate,Stone Cost,Stone Pcs,Setting Type,Setting Rate,Setting Charges,Other Charges,Charges,,Details,Minimum Diam Wt,Cost,Price 1,INCR/DECR,,,,,
make directly from cad,RM 5388,ZR1588SM-96CZ-L,,,,,,,,RD,E VS2,2.6,,1.022,79,80.738,14,prong,0.75,10.5,J Back,,,Duty/Ship,,21.035,,,0.069527009,0.96,OV,1.5,321.535
,SIZE US 6.5,01/14/1900,,,,,,,,,,,,,,,,,,,Dia. Han.,2.42214,,Total Imp. Cost,,321.535,645,,,,,,
,,01/14/1900,,,,,,,,,,,,,,,,,,,Miligrain,,,Center,1.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Two Tone,,,Setting,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Solder,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,engraving,,,,,,,,,,,,
Main Category,,,,,,,,,,,,,,,,,,,,,Rhoudium,2,,,,,,,,,,,
Sub Category,,,,,,,,,,,,,,,,,,,,,,,,Total,2.46,321.535,645,,,,,,
Collection,,,,,,,Total,194.675626,0,,,,,1.022,,80.738,15,,,10.5,,14.52214,,Net Margin,,,50.15%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD163D2-R6608,D2-RF2B3253,ZR1589E-246GD-A,,14KW,2800,4.71,58.81438852,277.0157699,,RD,EF VS,7.3,,,,0,1,prong,,0,CFP,10.1,,Semi / Comp,0.96,398.5,,0.098934204,,,,,
make directly from cad,RM 5458,ZR1589SM-96CZ-L,,,,,,,,RD,E VS2,3,,1.02,85,86.7,10,channel,2,20,J Back,,,Duty/Ship,,27.895,,,0.098934204,0.96,RD,1.5,426.395
,SIZE US 6.5,01/14/1900,,,,,,,,,,,,,,,,,,,Dia. Han.,2.601,,Total Imp. Cost,,426.395,855,,,,,,
,,01/14/1900,,,,,,,,,,,,,,,,,,,Miligrain,,,Center,1.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Two Tone,,,Setting,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Solder,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,engraving,,,,,,,,,,,,
